location_key,region,town,street_name,block,blk_streetname
186,Central,BUKIT MERAH,BT MERAH CTRL,115,115 BT MERAH CTRL
187,Central,BUKIT MERAH,BT MERAH CTRL,117,117 BT MERAH CTRL
188,Central,BUKIT MERAH,BT MERAH CTRL,161,161 BT MERAH CTRL
189,Central,BUKIT MERAH,BT MERAH LANE 1,124,124 BT MERAH LANE 1
190,Central,BUKIT MERAH,BT MERAH VIEW,119,119 BT MERAH VIEW
191,Central,BUKIT MERAH,BT MERAH VIEW,120,120 BT MERAH VIEW
192,Central,BUKIT MERAH,BT MERAH VIEW,124B,124B BT MERAH VIEW
193,Central,BUKIT MERAH,BT MERAH VIEW,125,125 BT MERAH VIEW
194,Central,BUKIT MERAH,BT MERAH VIEW,126,126 BT MERAH VIEW
195,Central,BUKIT MERAH,BT MERAH VIEW,128,128 BT MERAH VIEW
196,Central,BUKIT MERAH,BT MERAH VIEW,129,129 BT MERAH VIEW
197,Central,BUKIT MERAH,BT MERAH VIEW,130,130 BT MERAH VIEW
198,Central,BUKIT MERAH,BT PURMEI RD,101,101 BT PURMEI RD
199,Central,BUKIT MERAH,BT PURMEI RD,102,102 BT PURMEI RD
200,Central,BUKIT MERAH,BT PURMEI RD,103,103 BT PURMEI RD
201,Central,BUKIT MERAH,BT PURMEI RD,104,104 BT PURMEI RD
202,Central,BUKIT MERAH,BT PURMEI RD,106,106 BT PURMEI RD
203,Central,BUKIT MERAH,BT PURMEI RD,108,108 BT PURMEI RD
204,Central,BUKIT MERAH,BT PURMEI RD,109,109 BT PURMEI RD
205,Central,BUKIT MERAH,BT PURMEI RD,112,112 BT PURMEI RD
206,Central,BUKIT MERAH,BT PURMEI RD,114,114 BT PURMEI RD
207,Central,BUKIT MERAH,BT PURMEI RD,115,115 BT PURMEI RD
208,Central,BUKIT MERAH,CANTONMENT CL,11,11 CANTONMENT CL
209,Central,BUKIT MERAH,CANTONMENT CL,13,13 CANTONMENT CL
210,Central,BUKIT MERAH,CANTONMENT CL,16,16 CANTONMENT CL
211,Central,BUKIT MERAH,CANTONMENT CL,17,17 CANTONMENT CL
212,Central,BUKIT MERAH,CANTONMENT CL,18,18 CANTONMENT CL
213,Central,BUKIT MERAH,CANTONMENT CL,19,19 CANTONMENT CL
214,Central,BUKIT MERAH,CANTONMENT CL,8,8 CANTONMENT CL
215,Central,BUKIT MERAH,CANTONMENT CL,9,9 CANTONMENT CL
216,Central,BUKIT MERAH,DELTA AVE,1,1 DELTA AVE
217,Central,BUKIT MERAH,DELTA AVE,2,2 DELTA AVE
218,Central,BUKIT MERAH,DELTA AVE,3,3 DELTA AVE
219,Central,BUKIT MERAH,DELTA AVE,4,4 DELTA AVE
220,Central,BUKIT MERAH,DELTA AVE,5,5 DELTA AVE
221,Central,BUKIT MERAH,DEPOT RD,103A,103A DEPOT RD
222,Central,BUKIT MERAH,DEPOT RD,104A,104A DEPOT RD
223,Central,BUKIT MERAH,DEPOT RD,105A,105A DEPOT RD
224,Central,BUKIT MERAH,DEPOT RD,106A,106A DEPOT RD
225,Central,BUKIT MERAH,DEPOT RD,109A,109A DEPOT RD
226,Central,BUKIT MERAH,DEPOT RD,109B,109B DEPOT RD
227,Central,BUKIT MERAH,DEPOT RD,110A,110A DEPOT RD
228,Central,BUKIT MERAH,DEPOT RD,111A,111A DEPOT RD
229,Central,BUKIT MERAH,DEPOT RD,111B,111B DEPOT RD
230,Central,BUKIT MERAH,DEPOT RD,112B,112B DEPOT RD
231,Central,BUKIT MERAH,DEPOT RD,114,114 DEPOT RD
232,Central,BUKIT MERAH,EVERTON PK,1,1 EVERTON PK
233,Central,BUKIT MERAH,EVERTON PK,2,2 EVERTON PK
234,Central,BUKIT MERAH,EVERTON PK,3,3 EVERTON PK
235,Central,BUKIT MERAH,EVERTON PK,4,4 EVERTON PK
236,Central,BUKIT MERAH,EVERTON PK,5,5 EVERTON PK
237,Central,BUKIT MERAH,EVERTON PK,6,6 EVERTON PK
238,Central,BUKIT MERAH,EVERTON PK,7,7 EVERTON PK
239,Central,BUKIT MERAH,HAVELOCK RD,22,22 HAVELOCK RD
240,Central,BUKIT MERAH,HAVELOCK RD,50,50 HAVELOCK RD
241,Central,BUKIT MERAH,HAVELOCK RD,52,52 HAVELOCK RD
242,Central,BUKIT MERAH,HAVELOCK RD,53,53 HAVELOCK RD
243,Central,BUKIT MERAH,HAVELOCK RD,54,54 HAVELOCK RD
244,Central,BUKIT MERAH,HAVELOCK RD,55,55 HAVELOCK RD
245,Central,BUKIT MERAH,HAVELOCK RD,56,56 HAVELOCK RD
246,Central,BUKIT MERAH,HAVELOCK RD,57,57 HAVELOCK RD
247,Central,BUKIT MERAH,HAVELOCK RD,58,58 HAVELOCK RD
248,Central,BUKIT MERAH,HAVELOCK RD,95,95 HAVELOCK RD
249,Central,BUKIT MERAH,HENDERSON CRES,101,101 HENDERSON CRES
250,Central,BUKIT MERAH,HENDERSON CRES,102,102 HENDERSON CRES
251,Central,BUKIT MERAH,HENDERSON CRES,103,103 HENDERSON CRES
252,Central,BUKIT MERAH,HENDERSON CRES,104,104 HENDERSON CRES
253,Central,BUKIT MERAH,HENDERSON CRES,105,105 HENDERSON CRES
254,Central,BUKIT MERAH,HENDERSON CRES,106,106 HENDERSON CRES
255,Central,BUKIT MERAH,HENDERSON RD,95A,95A HENDERSON RD
256,Central,BUKIT MERAH,HENDERSON RD,95B,95B HENDERSON RD
257,Central,BUKIT MERAH,HENDERSON RD,95C,95C HENDERSON RD
258,Central,BUKIT MERAH,HENDERSON RD,96A,96A HENDERSON RD
259,Central,BUKIT MERAH,HENDERSON RD,96B,96B HENDERSON RD
260,Central,BUKIT MERAH,HOY FATT RD,28,28 HOY FATT RD
261,Central,BUKIT MERAH,HOY FATT RD,49,49 HOY FATT RD
262,Central,BUKIT MERAH,HOY FATT RD,50,50 HOY FATT RD
263,Central,BUKIT MERAH,INDUS RD,77,77 INDUS RD
264,Central,BUKIT MERAH,INDUS RD,78,78 INDUS RD
265,Central,BUKIT MERAH,JLN BT HO SWEE,2,2 JLN BT HO SWEE
266,Central,BUKIT MERAH,JLN BT HO SWEE,32,32 JLN BT HO SWEE
267,Central,BUKIT MERAH,JLN BT HO SWEE,34,34 JLN BT HO SWEE
268,Central,BUKIT MERAH,JLN BT HO SWEE,4,4 JLN BT HO SWEE
269,Central,BUKIT MERAH,JLN BT HO SWEE,46,46 JLN BT HO SWEE
270,Central,BUKIT MERAH,JLN BT HO SWEE,6,6 JLN BT HO SWEE
271,Central,BUKIT MERAH,JLN BT HO SWEE,8,8 JLN BT HO SWEE
272,Central,BUKIT MERAH,JLN BT MERAH,1,1 JLN BT MERAH
273,Central,BUKIT MERAH,JLN BT MERAH,107,107 JLN BT MERAH
274,Central,BUKIT MERAH,JLN BT MERAH,109,109 JLN BT MERAH
275,Central,BUKIT MERAH,JLN BT MERAH,11,11 JLN BT MERAH
276,Central,BUKIT MERAH,JLN BT MERAH,113,113 JLN BT MERAH
277,Central,BUKIT MERAH,JLN BT MERAH,12,12 JLN BT MERAH
278,Central,BUKIT MERAH,JLN BT MERAH,13,13 JLN BT MERAH
279,Central,BUKIT MERAH,JLN BT MERAH,131,131 JLN BT MERAH
280,Central,BUKIT MERAH,JLN BT MERAH,132,132 JLN BT MERAH
281,Central,BUKIT MERAH,JLN BT MERAH,134,134 JLN BT MERAH
282,Central,BUKIT MERAH,JLN BT MERAH,135,135 JLN BT MERAH
283,Central,BUKIT MERAH,JLN BT MERAH,136,136 JLN BT MERAH
284,Central,BUKIT MERAH,JLN BT MERAH,139,139 JLN BT MERAH
285,Central,BUKIT MERAH,JLN BT MERAH,14,14 JLN BT MERAH
286,Central,BUKIT MERAH,JLN BT MERAH,140,140 JLN BT MERAH
287,Central,BUKIT MERAH,JLN BT MERAH,141,141 JLN BT MERAH
288,Central,BUKIT MERAH,JLN BT MERAH,142,142 JLN BT MERAH
289,Central,BUKIT MERAH,JLN BT MERAH,143,143 JLN BT MERAH
290,Central,BUKIT MERAH,JLN BT MERAH,144,144 JLN BT MERAH
291,Central,BUKIT MERAH,JLN BT MERAH,145,145 JLN BT MERAH
292,Central,BUKIT MERAH,JLN BT MERAH,146,146 JLN BT MERAH
293,Central,BUKIT MERAH,JLN BT MERAH,2,2 JLN BT MERAH
294,Central,BUKIT MERAH,JLN BT MERAH,28,28 JLN BT MERAH
295,Central,BUKIT MERAH,JLN BT MERAH,7,7 JLN BT MERAH
296,Central,BUKIT MERAH,JLN KLINIK,20,20 JLN KLINIK
297,Central,BUKIT MERAH,JLN KLINIK,26,26 JLN KLINIK
298,Central,BUKIT MERAH,JLN KLINIK,28,28 JLN KLINIK
299,Central,BUKIT MERAH,JLN KLINIK,30,30 JLN KLINIK
300,Central,BUKIT MERAH,JLN MEMBINA,118A,118A JLN MEMBINA
301,Central,BUKIT MERAH,JLN MEMBINA,118B,118B JLN MEMBINA
302,Central,BUKIT MERAH,JLN MEMBINA,118C,118C JLN MEMBINA
303,Central,BUKIT MERAH,JLN MEMBINA,118D,118D JLN MEMBINA
304,Central,BUKIT MERAH,JLN MEMBINA,19,19 JLN MEMBINA
305,Central,BUKIT MERAH,JLN MEMBINA,20,20 JLN MEMBINA
306,Central,BUKIT MERAH,JLN MEMBINA,21,21 JLN MEMBINA
307,Central,BUKIT MERAH,JLN MEMBINA,22,22 JLN MEMBINA
308,Central,BUKIT MERAH,JLN MEMBINA,23,23 JLN MEMBINA
309,Central,BUKIT MERAH,JLN MEMBINA,25B,25B JLN MEMBINA
310,Central,BUKIT MERAH,JLN MEMBINA,26A,26A JLN MEMBINA
311,Central,BUKIT MERAH,JLN MEMBINA,26B,26B JLN MEMBINA
312,Central,BUKIT MERAH,JLN MEMBINA,26C,26C JLN MEMBINA
313,Central,BUKIT MERAH,JLN MEMBINA,26D,26D JLN MEMBINA
314,Central,BUKIT MERAH,JLN MEMBINA,27A,27A JLN MEMBINA
315,Central,BUKIT MERAH,JLN MEMBINA,27B,27B JLN MEMBINA
316,Central,BUKIT MERAH,JLN RUMAH TINGGI,10,10 JLN RUMAH TINGGI
317,Central,BUKIT MERAH,JLN RUMAH TINGGI,35,35 JLN RUMAH TINGGI
318,Central,BUKIT MERAH,JLN RUMAH TINGGI,36,36 JLN RUMAH TINGGI
319,Central,BUKIT MERAH,JLN RUMAH TINGGI,37,37 JLN RUMAH TINGGI
320,Central,BUKIT MERAH,JLN RUMAH TINGGI,38,38 JLN RUMAH TINGGI
321,Central,BUKIT MERAH,JLN RUMAH TINGGI,39,39 JLN RUMAH TINGGI
322,Central,BUKIT MERAH,JLN RUMAH TINGGI,40,40 JLN RUMAH TINGGI
323,Central,BUKIT MERAH,JLN RUMAH TINGGI,8,8 JLN RUMAH TINGGI
324,Central,BUKIT MERAH,KIM PONG RD,38,38 KIM PONG RD
325,Central,BUKIT MERAH,KIM PONG RD,49,49 KIM PONG RD
326,Central,BUKIT MERAH,KIM TIAN PL,120,120 KIM TIAN PL
327,Central,BUKIT MERAH,KIM TIAN PL,121,121 KIM TIAN PL
328,Central,BUKIT MERAH,KIM TIAN PL,121A,121A KIM TIAN PL
329,Central,BUKIT MERAH,KIM TIAN PL,8,8 KIM TIAN PL
330,Central,BUKIT MERAH,KIM TIAN RD,119B,119B KIM TIAN RD
331,Central,BUKIT MERAH,KIM TIAN RD,119C,119C KIM TIAN RD
332,Central,BUKIT MERAH,KIM TIAN RD,119D,119D KIM TIAN RD
333,Central,BUKIT MERAH,KIM TIAN RD,122,122 KIM TIAN RD
334,Central,BUKIT MERAH,KIM TIAN RD,123,123 KIM TIAN RD
335,Central,BUKIT MERAH,KIM TIAN RD,125,125 KIM TIAN RD
336,Central,BUKIT MERAH,KIM TIAN RD,126A,126A KIM TIAN RD
337,Central,BUKIT MERAH,KIM TIAN RD,126C,126C KIM TIAN RD
338,Central,BUKIT MERAH,KIM TIAN RD,127A,127A KIM TIAN RD
339,Central,BUKIT MERAH,KIM TIAN RD,127C,127C KIM TIAN RD
340,Central,BUKIT MERAH,KIM TIAN RD,127D,127D KIM TIAN RD
341,Central,BUKIT MERAH,KIM TIAN RD,129,129 KIM TIAN RD
342,Central,BUKIT MERAH,KIM TIAN RD,130,130 KIM TIAN RD
343,Central,BUKIT MERAH,KIM TIAN RD,131B,131B KIM TIAN RD
344,Central,BUKIT MERAH,KIM TIAN RD,131C,131C KIM TIAN RD
345,Central,BUKIT MERAH,LENGKOK BAHRU,44,44 LENGKOK BAHRU
346,Central,BUKIT MERAH,LENGKOK BAHRU,46,46 LENGKOK BAHRU
347,Central,BUKIT MERAH,LENGKOK BAHRU,47,47 LENGKOK BAHRU
348,Central,BUKIT MERAH,LENGKOK BAHRU,48,48 LENGKOK BAHRU
349,Central,BUKIT MERAH,LENGKOK BAHRU,51,51 LENGKOK BAHRU
350,Central,BUKIT MERAH,LENGKOK BAHRU,52,52 LENGKOK BAHRU
351,Central,BUKIT MERAH,LENGKOK BAHRU,53,53 LENGKOK BAHRU
352,Central,BUKIT MERAH,LENGKOK BAHRU,54,54 LENGKOK BAHRU
353,Central,BUKIT MERAH,LENGKOK BAHRU,63A,63A LENGKOK BAHRU
354,Central,BUKIT MERAH,LENGKOK BAHRU,63B,63B LENGKOK BAHRU
355,Central,BUKIT MERAH,LIM LIAK ST,21,21 LIM LIAK ST
356,Central,BUKIT MERAH,LIM LIAK ST,23,23 LIM LIAK ST
357,Central,BUKIT MERAH,LIM LIAK ST,25,25 LIM LIAK ST
358,Central,BUKIT MERAH,LIM LIAK ST,29,29 LIM LIAK ST
359,Central,BUKIT MERAH,LOWER DELTA RD,48,48 LOWER DELTA RD
360,Central,BUKIT MERAH,MOH GUAN TER,43,43 MOH GUAN TER
361,Central,BUKIT MERAH,MOH GUAN TER,50,50 MOH GUAN TER
362,Central,BUKIT MERAH,REDHILL CL,69,69 REDHILL CL
363,Central,BUKIT MERAH,REDHILL CL,70,70 REDHILL CL
364,Central,BUKIT MERAH,REDHILL CL,86,86 REDHILL CL
365,Central,BUKIT MERAH,REDHILL CL,87,87 REDHILL CL
366,Central,BUKIT MERAH,REDHILL LANE,81,81 REDHILL LANE
367,Central,BUKIT MERAH,REDHILL LANE,82,82 REDHILL LANE
368,Central,BUKIT MERAH,REDHILL LANE,83,83 REDHILL LANE
369,Central,BUKIT MERAH,REDHILL RD,73A,73A REDHILL RD
370,Central,BUKIT MERAH,REDHILL RD,74A,74A REDHILL RD
371,Central,BUKIT MERAH,REDHILL RD,75A,75A REDHILL RD
372,Central,BUKIT MERAH,REDHILL RD,75B,75B REDHILL RD
373,Central,BUKIT MERAH,REDHILL RD,75C,75C REDHILL RD
374,Central,BUKIT MERAH,REDHILL RD,76A,76A REDHILL RD
375,Central,BUKIT MERAH,REDHILL RD,77A,77A REDHILL RD
376,Central,BUKIT MERAH,SENG POH RD,46,46 SENG POH RD
